food,packaging,clothing&shoes,electricity,hot water,paper,litter,commuting
744.7673947,107.5819219,309.6,656.0918,5.736734694,60.5183424,77.7678528,0
1255.598777,78.25786452,491.2,821.87,11.67918367,12.8837856,68.0468712,0
233.2005811,54.99914904,181.6,100.2764,17.10734694,37.238432,68.0468712,0
1024.590201,153.823428,468,597.198,14.39326531,14.435296,68.0468712,0
704.3503534,17.23310424,79.2,423.738,28.68367347,12.3466464,19.4419632,0
333.3809035,15.88695372,0,995.33,2.816938776,3.821232,97.209816,0
301.3811273,47.13310008,312,571.592,11.10408163,1.1773248,19.4419632,0
519.2098367,40.02099552,181.6,337.834,19.12244898,27.9773856,19.4419632,0
428.7214951,73.98478296,468,821.87,10.0755102,10.682464,58.3258896,0
511.6542912,87.76976472,104.8,398.132,28.16938776,4.1945248,97.209816,0
1020.572827,112.6846552,184,444.0576,13.64221359,22.5290784,68.0468712,0
605.7978495,21.91256496,79.2,476.602,14.08469388,0.3580928,97.209816,0
744.211838,116.1621846,235.2,467.516,10.0755102,7.2843712,58.3258896,0
546.8581309,103.4449258,184,648.41,9.995545369,0.6097856,29.1629448,0
128.9729557,45.40591044,130.4,60.298,19.12244898,13.0746784,27.28217788,0
641.9720446,82.206531,184,802.046,23.85163265,16.2666784,58.3258896,0
530.114866,20.55796776,104.8,692.188,19.41863265,12.7883392,58.3258896,0
525.5684305,79.8805656,212,657.496,20.95285714,10.925664,68.0468712,0
554.8387633,70.44030576,209.6,560.88704,12.0204898,28.6166784,97.209816,0
930.7371903,100.2020263,414.4,547.2223766,15.11326531,53.5473568,165.2566872,0
306.8673957,42.3491508,340,586.5426,12.68673469,34.259232,38.8839264,0
652.3194966,116.0658299,235.2,527.814,9.766938776,29.0331104,50.11822181,0
156.4321644,10.95628248,184,719.446,10.0755102,12.979232,68.0468712,0
812.1789912,70.521957,184,398.132,9.56122449,22.084032,87.4888344,0
317.3153597,93.01640436,158.4,916.86,17.10734694,10.788864,116.6517792,0
629.5809274,28.18938672,107.2,441.91,7.443265306,66.5071424,77.7678528,0
633.3640683,72.8729496,184,621.152,20.15102041,27.5542464,38.8839264,0
541.7564044,39.63150972,209.6,544.334,14.59897959,47.101664,68.0468712,0
369.6755566,75.43573488,288.8,474.95,29.19795918,31.4709248,38.8839264,0
586.2640384,6.27682176,53.6,398.132,9.56122449,6.7353856,68.0468712,0
960.4208096,93.14623296,465.6,372.526,9.56122449,15.4018464,29.41131588,0
826.6344548,45.54418572,340,380.2078,5.397755102,0.2052,38.8839264,0
595.6240677,70.57013436,212,515.011,9.56122449,16.792864,60.95176975,0
610.4061181,77.38910784,130.4,308.924,19.90206122,3.9698784,9.7209816,0
859.0279029,114.6943393,79.2,729.6298355,19.01959184,28.3050784,126.3727608,0
722.6121059,153.8149813,363.2,398.132,19.12244898,28.2746784,72.55764969,0
231.542315,89.7084342,81.6,290.339,9.355510204,40.4346784,29.1629448,0
200.1361387,67.81244976,158.4,458.43,15.0922449,21.9353856,68.0468712,0
174.3024652,40.1592708,107.2,128.03,13.64221359,40.5833248,12.19035395,0
747.1296424,56.86461396,184,120.596,13.64221359,23.2656032,68.0468712,2.4048
428.2908175,83.68282296,212,284.97,6.744285714,9.6191392,68.0468712,0
558.100838,42.56094348,184,949.9,6.456734694,25.7034176,48.604908,0
803.6644472,69.27184836,284,493.122,21.83653061,2.0236032,41.60166983,0
319.303985,61.2759708,207.2,648.41,19.12244898,18.6056928,48.604908,0
895.083544,164.8760652,212,616.5264,12.13265306,13.722464,68.0468712,0
418.9942401,31.64407884,158.4,597.198,10.0755102,4.0610784,77.7678528,0
506.7097274,28.18938672,260.8,442.58732,32.89857143,30.7580928,68.0468712,0
308.6956045,61.56096804,335.2,518.728,12.27530612,25.2346784,77.7678528,0
443.7869918,85.19227596,314.4,621.152,19.63673469,46.685232,126.3727608,0
394.7408177,34.70083848,81.6,406.49112,8.656530612,3.828832,58.3258896,0
505.0476761,87.68999052,212,467.516,19.63673469,13.8778176,48.604908,0
442.7345816,42.3241236,314.4,674.016,19.12244898,28.156432,68.0468712,0
1174.380044,42.47053272,107.2,515.7544,7.780367347,31.924464,38.8839264,0
578.5062342,65.94698484,186.4,509.642,5.94244898,10.712864,48.604908,0
793.2808222,10.95628248,79.2,544.334,13.64221359,15.5124928,97.209816,0
